Date,Open,High,Low,Close,Adj Close,Volume
2022-08-11,176.360001,177.119995,174.669998,175.039993,173.871506,2743800
2022-08-12,175.929993,177.380005,175.380005,177.330002,176.146225,3756200
2022-08-15,177.770004,179.360001,176.800003,179.279999,178.083206,3043100
2022-08-16,179.779999,180.699997,178.639999,180.320007,179.116272,3395700
2022-08-17,180.100006,181.070007,179.720001,180.220001,179.016937,2666200
2022-08-18,180.820007,180.929993,179.940002,180.399994,179.195724,3010600
2022-08-19,179.759995,181.009995,179.320007,180.169998,178.967270,3704000
2022-08-22,180.139999,180.470001,178.020004,178.449997,177.258743,3385000
2022-08-23,177.820007,178.860001,177.289993,178.369995,177.179276,2575000
2022-08-24,178.369995,179.500000,178.110001,179.259995,178.063339,3340600
2022-08-25,179.029999,179.350006,177.389999,179.270004,178.073273,3401800
2022-08-26,179.960007,179.979996,174.669998,175.039993,173.871506,5246600
2022-08-29,174.550003,175.289993,173.210007,174.490005,173.325195,4184500
2022-08-30,174.339996,174.690002,172.330002,172.990005,171.835205,4026300
2022-08-31,173.809998,174.410004,172.199997,172.270004,171.120010,5597900
2022-09-01,170.919998,172.979996,170.240005,172.850006,172.850006,4846100
2022-09-02,173.720001,174.970001,169.889999,170.660004,170.660004,5801500
2022-09-06,170.979996,172.589996,169.130005,169.509995,169.509995,4900100
2022-09-07,170.619995,173.779999,169.929993,173.250000,173.250000,6074600
2022-09-08,172.779999,173.429993,170.559998,172.669998,172.669998,3888100
2022-09-09,172.649994,174.550003,171.669998,173.220001,173.220001,3662000
2022-09-12,173.220001,174.440002,172.750000,173.899994,173.899994,5953300
2022-09-13,172.500000,172.830002,166.949997,167.410004,167.410004,6926200
2022-09-14,168.119995,169.190002,167.570007,168.679993,168.679993,5156900
2022-09-15,168.529999,168.559998,165.339996,165.880005,165.880005,5461000
2022-09-16,166.360001,167.169998,165.250000,166.970001,166.970001,12011700
2022-09-19,167.059998,168.809998,166.500000,168.729996,168.729996,3720900
2022-09-20,167.580002,169.149994,166.860001,168.919998,168.919998,3872000
2022-09-21,169.880005,172.029999,168.339996,168.440002,168.440002,5134500
2022-09-22,168.399994,169.889999,168.050003,168.600006,168.600006,4290600
2022-09-23,168.389999,168.750000,166.529999,168.520004,168.520004,4565100
2022-09-26,168.330002,170.009995,167.529999,168.449997,168.449997,5326400
